region	chr	midPos	Nsites
(2784,2983)(412094,412367)(400000,450000)	JASDQU010100785.1	425000	201	0.508115
(2984,3167)(522000,522768)(500000,550000)	JASDQU010100785.1	525000	185	0.049633
(273,337)(276487,276558)(250000,300000)	JASDQU010100788.1	275000	66	0.053749
(338,398)(379775,379857)(350000,400000)	JASDQU010100788.1	375000	62	0.152108
(399,933)(438735,439283)(400000,450000)	JASDQU010100788.1	425000	536	0.090102
(934,1746)(484187,485034)(450000,500000)	JASDQU010100788.1	475000	814	0.040105
(1747,2030)(509720,510072)(500000,550000)	JASDQU010100788.1	525000	285	0.029309
(2031,2132)(558784,558922)(550000,600000)	JASDQU010100788.1	575000	103	0.153482
(998,1459)(164162,183966)(150000,200000)	JASDQU010100789.1	175000	463	0.048204
(471,638)(495811,495984)(450000,500000)	JASDQU010100800.1	475000	169	0.090228
(149,187)(206449,206530)(200000,250000)	JASDQU010100801.1	225000	40	0.089100
(99,222)(287580,287776)(250000,300000)	JASDQU010100815.1	275000	125	0.518387
(197,460)(205407,205720)(200000,250000)	JASDQU010100819.1	225000	265	-0.008223
(461,2115)(256194,283260)(250000,300000)	JASDQU010100819.1	275000	1656	0.155548
(2116,2429)(322726,339124)(300000,350000)	JASDQU010100819.1	325000	315	0.024864
(1334,3128)(261514,264179)(250000,300000)	JASDQU010100822.1	275000	1796	0.364872
(323,478)(887530,887838)(850000,900000)	JASDQU010100823.1	875000	157	0.004921
(479,775)(928376,928733)(900000,950000)	JASDQU010100823.1	925000	298	0.030892
(267,502)(114775,115025)(100000,150000)	JASDQU010100826.1	125000	237	0.109111
(1522,1559)(468420,468464)(450000,500000)	JASDQU010100827.1	475000	39	0.047873
(469,498)(143838,143932)(100000,150000)	JASDQU010100828.1	125000	31	0.007962
(499,1019)(275413,275970)(250000,300000)	JASDQU010100828.1	275000	522	0.054425
(66,952)(217213,247189)(200000,250000)	JASDQU010100829.1	225000	888	0.380507
(953,2120)(276461,277902)(250000,300000)	JASDQU010100829.1	275000	1169	0.555335
(2499,4887)(172573,186853)(150000,200000)	JASDQU010100831.1	175000	2390	0.599648
(3492,4229)(136323,137066)(100000,150000)	JASDQU010100833.1	125000	739	0.371827
(4230,4230)(299979,299979)(250000,300000)	JASDQU010100833.1	275000	2	0.044037
(4231,4393)(458443,458747)(450000,500000)	JASDQU010100833.1	475000	164	0.044320
(279,1116)(156097,156957)(150000,200000)	JASDQU010100834.1	175000	839	0.623242
(340,355)(159153,159175)(150000,200000)	JASDQU010100842.1	175000	17	0.061309
(356,3720)(295962,299613)(250000,300000)	JASDQU010100842.1	275000	3366	0.500178
(3721,5118)(302051,304488)(300000,350000)	JASDQU010100842.1	325000	1399	0.311524
(5119,5265)(373350,373544)(350000,400000)	JASDQU010100842.1	375000	148	0.039215
(186,950)(301232,302085)(300000,350000)	JASDQU010100846.1	325000	766	-0.013881
(951,972)(464170,464197)(450000,500000)	JASDQU010100846.1	475000	23	0.081958
(52,125)(253532,253607)(250000,300000)	JASDQU010100858.1	275000	75	0.070799
(1367,1491)(200310,200558)(200000,250000)	JASDQU010100864.1	225000	126	0.048623
(149,3480)(206652,233051)(200000,250000)	JASDQU010100870.1	225000	3333	0.502489
(3481,4333)(514460,548001)(500000,550000)	JASDQU010100870.1	525000	854	0.037711
(4334,6069)(662779,689894)(650000,700000)	JASDQU010100870.1	675000	1737	0.104406
(1991,3857)(350034,352654)(350000,400000)	JASDQU010100873.1	375000	1868	0.555600
(268,2447)(175535,178422)(150000,200000)	JASDQU010100875.1	175000	2181	0.231867
(2836,5108)(265732,268042)(250000,300000)	JASDQU010100877.1	275000	2274	0.314617
(34,97)(50000,50100)(50000,100000)	JASDQU010100888.1	75000	65	0.088248
(98,690)(232753,233371)(200000,250000)	JASDQU010100888.1	225000	594	0.080164
(1631,1687)(148481,148574)(100000,150000)	JASDQU010100891.1	125000	58	-0.012328
(1688,1694)(446126,446134)(400000,450000)	JASDQU010100891.1	425000	8	0.051680
(470,765)(154816,155206)(150000,200000)	JASDQU010100892.1	175000	297	0.013307
(191,3094)(221557,225266)(200000,250000)	JASDQU010100903.1	225000	2905	0.605755
(3095,5847)(381928,399837)(350000,400000)	JASDQU010100903.1	375000	2754	0.203555
(847,2184)(122800,124165)(100000,150000)	JASDQU010100909.1	125000	1339	0.252104
(775,1971)(109721,131663)(100000,150000)	JASDQU010100916.1	125000	1198	0.012632
(85,297)(91538,91866)(50000,100000)	JASDQU010100917.1	75000	214	0.029493
(298,548)(153554,196669)(150000,200000)	JASDQU010100917.1	175000	252	0.134172
(549,1015)(534064,534536)(500000,550000)	JASDQU010100917.1	525000	468	0.223589
(1016,1222)(647166,647381)(600000,650000)	JASDQU010100917.1	625000	208	0.708182
(1223,2945)(664735,666466)(650000,700000)	JASDQU010100917.1	675000	1724	0.195011
(711,1056)(59640,60105)(50000,100000)	JASDQU010100919.1	75000	347	0.227966
(42,4059)(103980,112040)(100000,150000)	JASDQU010100922.1	125000	4019	0.361838
(4060,4510)(320227,320739)(300000,350000)	JASDQU010100922.1	325000	452	0.011812
(4511,9411)(374201,379360)(350000,400000)	JASDQU010100922.1	375000	4902	0.163928
(9412,12137)(451457,455801)(450000,500000)	JASDQU010100922.1	475000	2727	0.190273
(112,225)(531078,531192)(500000,550000)	JASDQU010100935.1	525000	115	0.057008
(582,5609)(253980,273540)(250000,300000)	JASDQU010100939.1	275000	5029	0.586326
(560,1317)(121728,122508)(100000,150000)	JASDQU010100941.1	125000	759	0.507290
(458,478)(496891,496967)(450000,500000)	JASDQU010100944.1	475000	22	0.395655
(479,513)(565634,565685)(550000,600000)	JASDQU010100944.1	575000	36	-0.004443
(514,594)(799643,799748)(750000,800000)	JASDQU010100944.1	775000	82	0.104987
(595,883)(843777,844068)(800000,850000)	JASDQU010100944.1	825000	290	0.016054
(884,1137)(954491,954791)(950000,1000000)	JASDQU010100944.1	975000	255	0.045121
(1138,1413)(1063476,1065799)(1050000,1100000)	JASDQU010100944.1	1075000	277	0.068727
(536,733)(180855,181282)(150000,200000)	JASDQU010100948.1	175000	199	0.016419
(734,987)(258092,258471)(250000,300000)	JASDQU010100948.1	275000	255	0.054565
(988,1002)(306118,306144)(300000,350000)	JASDQU010100948.1	325000	16	0.041918
(968,3386)(200978,222083)(200000,250000)	JASDQU010100952.1	225000	2420	0.213659
(374,436)(188163,188267)(150000,200000)	JASDQU010100953.1	175000	64	0.037312
(437,673)(223216,223460)(200000,250000)	JASDQU010100953.1	225000	238	0.055808
(214,466)(178506,178828)(150000,200000)	JASDQU010100954.1	175000	254	0.044092
(1384,1684)(107313,114509)(100000,150000)	JASDQU010100955.1	125000	302	0.169541
(1685,1734)(159611,159665)(150000,200000)	JASDQU010100955.1	175000	51	0.032737
(1735,2836)(251152,272960)(250000,300000)	JASDQU010100955.1	275000	1103	0.188809
(360,781)(215695,216118)(200000,250000)	JASDQU010100961.1	225000	423	0.016423
(782,853)(257194,257320)(250000,300000)	JASDQU010100961.1	275000	73	0.046068
(854,1175)(370004,396939)(350000,400000)	JASDQU010100961.1	375000	323	0.232028
(4,1120)(191545,192699)(150000,200000)	JASDQU010100965.1	175000	1118	0.508539
(1121,1874)(293278,294052)(250000,300000)	JASDQU010100965.1	275000	755	0.336352
(1875,2042)(372696,372869)(350000,400000)	JASDQU010100965.1	375000	169	0.032964
(2043,2815)(415042,444853)(400000,450000)	JASDQU010100965.1	425000	774	0.331541
(908,1053)(619442,619592)(600000,650000)	JASDQU010100967.1	625000	147	0.040215
(717,1241)(292163,297262)(250000,300000)	JASDQU010100968.1	275000	526	0.241242
(578,1967)(263388,264871)(250000,300000)	JASDQU010100972.1	275000	1391	0.315974
(494,550)(501706,501766)(500000,550000)	JASDQU010100976.1	525000	58	0.228891
(23,643)(290624,291272)(250000,300000)	JASDQU010100981.1	275000	622	0.664250
(644,3705)(311326,317333)(300000,350000)	JASDQU010100981.1	325000	3063	0.698622
(513,819)(130850,131202)(100000,150000)	JASDQU010100982.1	125000	308	0.273153
(808,2469)(56436,78927)(50000,100000)	JASDQU010100985.1	75000	1663	0.613236
(2470,3809)(196587,198000)(150000,200000)	JASDQU010100985.1	175000	1341	0.546753
(63,1862)(275719,279558)(250000,300000)	JASDQU010100991.1	275000	1801	0.335479
(143,338)(223334,223574)(200000,250000)	JASDQU010101002.1	225000	197	0.032561
(939,1021)(357302,357409)(350000,400000)	JASDQU010101005.1	375000	84	0.044290
(1022,1580)(469051,469642)(450000,500000)	JASDQU010101005.1	475000	560	0.748082
(1581,2477)(557041,558275)(550000,600000)	JASDQU010101005.1	575000	898	0.792810
(128,713)(407703,408426)(400000,450000)	JASDQU010101016.1	425000	587	0.201886
(714,1900)(473588,484472)(450000,500000)	JASDQU010101016.1	475000	1188	0.093101
(1901,2245)(650432,650785)(650000,700000)	JASDQU010101016.1	675000	346	0.040096
(573,1650)(321726,323773)(300000,350000)	JASDQU010101017.1	325000	1079	0.561489
(1210,1358)(378831,378983)(350000,400000)	JASDQU010101028.1	375000	150	0.031648
(180,722)(287249,287866)(250000,300000)	JASDQU010101029.1	275000	544	0.264763
(678,830)(116690,135079)(100000,150000)	JASDQU010101034.1	125000	154	0.069627
(831,1195)(207761,208134)(200000,250000)	JASDQU010101034.1	225000	366	0.034441
(429,665)(282797,283159)(250000,300000)	JASDQU010101035.1	275000	238	0.064191
(666,1655)(356550,373353)(350000,400000)	JASDQU010101035.1	375000	991	0.189457
(139,308)(122893,123077)(100000,150000)	JASDQU010101037.1	125000	171	0.112382
(134,684)(103915,104571)(100000,150000)	JASDQU010101040.1	125000	552	0.033700
(685,2043)(243871,249999)(200000,250000)	JASDQU010101040.1	225000	1360	0.281773
(2044,2650)(250000,250619)(250000,300000)	JASDQU010101040.1	275000	608	0.347648
(421,489)(189370,189445)(150000,200000)	JASDQU010101042.1	175000	70	0.185304
(490,490)(213884,213884)(200000,250000)	JASDQU010101042.1	225000	2	0.049430
(2539,2874)(201760,202095)(200000,250000)	JASDQU010101043.1	225000	337	0.087986
(232,1051)(622622,624839)(600000,650000)	JASDQU010101053.1	625000	821	0.613178
(54,79)(53172,53254)(50000,100000)	JASDQU010101055.1	75000	27	0.014882
(80,598)(113192,113740)(100000,150000)	JASDQU010101055.1	125000	520	0.711658
(599,643)(578447,578553)(550000,600000)	JASDQU010101055.1	575000	46	0.014043
(43,4186)(108792,140339)(100000,150000)	JASDQU010101060.1	125000	4145	0.784579
(4187,4448)(201674,201940)(200000,250000)	JASDQU010101060.1	225000	263	0.059906
(257,262)(103678,103689)(100000,150000)	JASDQU010101063.1	125000	7	0.086574
(210,2185)(50000,85606)(50000,100000)	JASDQU010101066.1	75000	1977	0.737319
(376,452)(187205,187309)(150000,200000)	JASDQU010101070.1	175000	78	0.046275
(1688,1924)(393303,393541)(350000,400000)	JASDQU010101073.1	375000	238	0.072002
(1925,2568)(437034,437814)(400000,450000)	JASDQU010101073.1	425000	645	0.031890
(3892,4152)(217183,217527)(200000,250000)	JASDQU010101076.1	225000	262	0.065940
(368,2169)(384882,387976)(350000,400000)	JASDQU010101080.1	375000	1803	0.424074
(1193,1244)(345333,345387)(300000,350000)	JASDQU010101081.1	325000	53	0.044856
(1245,1756)(355242,366579)(350000,400000)	JASDQU010101081.1	375000	513	0.001143
(1757,2042)(418722,428774)(400000,450000)	JASDQU010101081.1	425000	287	0.084336
(2043,2753)(455661,462917)(450000,500000)	JASDQU010101081.1	475000	712	0.051637
(2754,3257)(502931,509070)(500000,550000)	JASDQU010101081.1	525000	505	0.042547
(194,739)(155617,181070)(150000,200000)	JASDQU010101084.1	175000	547	0.417842
(740,1191)(287641,288199)(250000,300000)	JASDQU010101084.1	275000	453	0.026526
(1192,2869)(546155,549999)(500000,550000)	JASDQU010101084.1	525000	1679	0.535537
(31,643)(401456,402126)(400000,450000)	JASDQU010101099.1	425000	614	0.032260
(644,1395)(548113,548875)(500000,550000)	JASDQU010101099.1	525000	753	0.201425
(775,794)(422052,422072)(400000,450000)	JASDQU010101103.1	425000	21	0.003360
(795,970)(515651,516108)(500000,550000)	JASDQU010101103.1	525000	177	0.034987
(971,1767)(800717,837724)(800000,850000)	JASDQU010101103.1	825000	798	0.021958
(1768,2111)(1241155,1241548)(1200000,1250000)	JASDQU010101103.1	1225000	345	0.014323
(3727,4281)(405720,423489)(400000,450000)	JASDQU010101105.1	425000	556	0.048386
(233,412)(515119,515548)(500000,550000)	JASDQU010101110.1	525000	181	0.045204
(395,1020)(88445,89218)(50000,100000)	JASDQU010101116.1	75000	627	0.010929
(1021,1557)(118921,119667)(100000,150000)	JASDQU010101116.1	125000	538	0.014952
(67,1187)(252247,273778)(250000,300000)	JASDQU010101121.1	275000	1122	0.006533
(1188,1288)(410937,411235)(400000,450000)	JASDQU010101121.1	425000	102	0.055141
(4558,4591)(280257,280291)(250000,300000)	JASDQU010101138.1	275000	35	0.085385
(4592,4875)(371246,374246)(350000,400000)	JASDQU010101138.1	375000	285	0.016439
(4876,5170)(432060,432576)(400000,450000)	JASDQU010101138.1	425000	296	0.039669
(5171,5481)(662797,699999)(650000,700000)	JASDQU010101138.1	675000	312	0.035576
(5482,5484)(700000,700002)(700000,750000)	JASDQU010101138.1	725000	4	0.038390
(23,583)(679042,679675)(650000,700000)	JASDQU010101140.1	675000	562	0.535680
(115,1556)(290824,292305)(250000,300000)	JASDQU010101142.1	275000	1443	0.122440
(151,236)(280966,291762)(250000,300000)	JASDQU010101145.1	275000	87	0.229266
(237,2081)(390584,392653)(350000,400000)	JASDQU010101145.1	375000	1846	0.415523
(386,856)(155343,155955)(150000,200000)	JASDQU010101151.1	175000	472	0.034224
(857,956)(217566,217692)(200000,250000)	JASDQU010101151.1	225000	101	0.074338
(957,1358)(344214,344844)(300000,350000)	JASDQU010101151.1	325000	403	0.053416
(1359,3041)(353548,383350)(350000,400000)	JASDQU010101151.1	375000	1684	0.250907
(3042,3250)(449057,449268)(400000,450000)	JASDQU010101151.1	425000	210	0.035065
(899,4220)(226345,241498)(200000,250000)	JASDQU010101163.1	225000	3323	0.376813
(4221,4820)(260736,261392)(250000,300000)	JASDQU010101163.1	275000	601	0.393282
(4821,5460)(351400,352047)(350000,400000)	JASDQU010101163.1	375000	641	0.295009
(48,375)(148106,148535)(100000,150000)	JASDQU010101179.1	125000	329	0.246830
(925,2076)(130682,132914)(100000,150000)	JASDQU010101180.1	125000	1153	-0.038400
(2223,2340)(55808,55929)(50000,100000)	JASDQU010101181.1	75000	119	0.034560
(126,641)(290916,291446)(250000,300000)	JASDQU010101193.1	275000	517	0.018946
(55,749)(185171,185921)(150000,200000)	JASDQU010101194.1	175000	696	0.504338
(262,3628)(50000,70632)(50000,100000)	JASDQU010101197.1	75000	3368	0.302211
(364,409)(586492,586540)(550000,600000)	JASDQU010101207.1	575000	47	0.233215
(410,708)(600650,600964)(600000,650000)	JASDQU010101207.1	625000	300	0.028187
(3799,4246)(181816,182527)(150000,200000)	JASDQU010101220.1	175000	449	0.029182
(372,2494)(86495,94045)(50000,100000)	JASDQU010101222.1	75000	2124	0.435415
(32,300)(121418,121816)(100000,150000)	JASDQU010101225.1	125000	270	0.023177
(301,725)(303412,327946)(300000,350000)	JASDQU010101225.1	325000	426	0.262992
(334,880)(347934,348501)(300000,350000)	JASDQU010101228.1	325000	548	0.342222
(280,855)(58567,59198)(50000,100000)	JASDQU010101229.1	75000	577	0.520773
(3796,3819)(339821,339855)(300000,350000)	JASDQU010101236.1	325000	25	0.075348
(21,59)(99501,99557)(50000,100000)	JASDQU010101248.1	75000	40	0.060647
(1622,1664)(131515,131573)(100000,150000)	JASDQU010101249.1	125000	44	0.080846
(1665,2857)(212041,213366)(200000,250000)	JASDQU010101249.1	225000	1194	0.245735
(189,210)(128800,128828)(100000,150000)	JASDQU010101251.1	125000	23	0.103510
(258,4381)(316243,341550)(300000,350000)	JASDQU010101253.1	325000	4125	0.235549
(4382,4539)(368392,368550)(350000,400000)	JASDQU010101253.1	375000	159	-0.000566
(236,1044)(312515,313328)(300000,350000)	JASDQU010101255.1	325000	810	0.224235
(116,233)(564218,564343)(550000,600000)	JASDQU010101260.1	575000	119	0.037797
(782,816)(103380,103419)(100000,150000)	JASDQU010101262.1	125000	36	0.034330
(140,531)(90365,90774)(50000,100000)	JASDQU010101273.1	75000	393	0.202889
(173,1182)(109205,121697)(100000,150000)	JASDQU010101281.1	125000	1011	0.069288
(3334,3568)(311996,312260)(300000,350000)	JASDQU010101286.1	325000	236	0.157060
(1512,1559)(541320,541369)(500000,550000)	JASDQU010101314.1	525000	49	0.079127
(1560,2166)(677081,677692)(650000,700000)	JASDQU010101314.1	675000	608	0.041499
(2167,2582)(726678,727108)(700000,750000)	JASDQU010101314.1	725000	417	0.024973
(2583,2861)(893385,894059)(850000,900000)	JASDQU010101314.1	875000	280	0.026869
(1261,1391)(737507,737647)(700000,750000)	JASDQU010101319.1	725000	132	0.018498
(866,984)(63964,64098)(50000,100000)	JASDQU010101322.1	75000	120	0.069581
(903,951)(130170,130220)(100000,150000)	JASDQU010101338.1	125000	50	0.024602
(267,1037)(145316,147913)(100000,150000)	JASDQU010101339.1	125000	772	0.014349
(33,4357)(91658,97302)(50000,100000)	JASDQU010101348.1	75000	4326	0.494669
(46,1566)(61904,72199)(50000,100000)	JASDQU010101350.1	75000	1522	0.301850
(1567,3486)(146040,148351)(100000,150000)	JASDQU010101350.1	125000	1921	0.292801
(50,282)(350004,350246)(350000,400000)	JASDQU010101353.1	375000	234	0.778173
(856,1321)(147519,148066)(100000,150000)	JASDQU010101355.1	125000	467	0.199646
(1,1018)(370114,371345)(350000,400000)	JASDQU010101357.1	375000	1019	0.038455
(643,1138)(369133,369682)(350000,400000)	JASDQU010101360.1	375000	497	0.176891
(659,797)(486640,486783)(450000,500000)	JASDQU010101361.1	475000	140	0.051432
(805,1170)(250000,277013)(250000,300000)	JASDQU010101367.1	275000	367	0.059902
(969,1066)(478584,478686)(450000,500000)	JASDQU010101368.1	475000	99	0.250734
(1178,2841)(575626,577346)(550000,600000)	JASDQU010101369.1	575000	1665	0.040128
(2842,2880)(809638,809688)(800000,850000)	JASDQU010101369.1	825000	40	0.040785
(757,1200)(279100,279725)(250000,300000)	JASDQU010101370.1	275000	445	0.054710
(1201,2737)(352379,353925)(350000,400000)	JASDQU010101370.1	375000	1538	0.101781
(157,169)(230527,230544)(200000,250000)	JASDQU010101373.1	225000	14	0.034291
(1560,2228)(101605,102276)(100000,150000)	JASDQU010101376.1	125000	670	0.021908
(2229,2396)(162170,162835)(150000,200000)	JASDQU010101376.1	175000	169	0.061493
(2397,3465)(404389,432723)(400000,450000)	JASDQU010101376.1	425000	1070	0.726445
(3466,4236)(459389,460218)(450000,500000)	JASDQU010101376.1	475000	772	0.329526
(117,1381)(122172,124350)(100000,150000)	JASDQU010101378.1	125000	1266	0.394324
(1382,3054)(167055,199539)(150000,200000)	JASDQU010101378.1	175000	1674	0.152788
(3055,3531)(201089,201567)(200000,250000)	JASDQU010101378.1	225000	478	0.039358
(129,1238)(529400,536820)(500000,550000)	JASDQU010101383.1	525000	1111	0.584269
(2966,3395)(109281,109744)(100000,150000)	JASDQU010101384.1	125000	431	0.146037
(3396,3453)(183894,184090)(150000,200000)	JASDQU010101384.1	175000	59	0.052027
(1007,1941)(165608,179306)(150000,200000)	JASDQU010101385.1	175000	936	0.054385
(1942,3123)(261517,286540)(250000,300000)	JASDQU010101385.1	275000	1183	0.055292
(608,1728)(428644,429812)(400000,450000)	JASDQU010101388.1	425000	1122	0.481113
(1729,3080)(462413,490972)(450000,500000)	JASDQU010101388.1	475000	1353	0.111108
(625,916)(199706,199999)(150000,200000)	JASDQU010101390.1	175000	293	0.243669
(439,811)(63225,66180)(50000,100000)	JASDQU010101392.1	75000	374	0.052789
(400,454)(228789,228844)(200000,250000)	JASDQU010101395.1	225000	56	0.053178
(455,1446)(339072,340087)(300000,350000)	JASDQU010101395.1	325000	993	0.672530
(473,553)(139423,139525)(100000,150000)	JASDQU010101404.1	125000	82	0.136631
(554,2838)(195068,197607)(150000,200000)	JASDQU010101404.1	175000	2286	0.573787
(2839,6124)(226512,247670)(200000,250000)	JASDQU010101404.1	225000	3287	0.076450
(6125,6349)(279136,279406)(250000,300000)	JASDQU010101404.1	275000	226	0.213823
(6350,7692)(311686,333554)(300000,350000)	JASDQU010101404.1	325000	1344	0.245159
(7693,8343)(520840,521512)(500000,550000)	JASDQU010101404.1	525000	652	0.476086
(8344,9404)(679721,681503)(650000,700000)	JASDQU010101404.1	675000	1062	0.560978
(323,397)(102800,102876)(100000,150000)	JASDQU010101413.1	125000	76	0.059635
(398,569)(160225,163179)(150000,200000)	JASDQU010101413.1	175000	173	0.124414
(6247,6440)(94554,94751)(50000,100000)	JASDQU010101424.1	75000	195	0.380983
(150,419)(306292,306665)(300000,350000)	JASDQU010101436.1	325000	271	0.356357
(47,150)(243199,243304)(200000,250000)	JASDQU010101439.1	225000	105	0.150685
(987,2366)(108988,111112)(100000,150000)	JASDQU010101440.1	125000	1381	0.332767
(2367,2959)(476469,477072)(450000,500000)	JASDQU010101440.1	475000	594	0.239246
(2960,3863)(560626,561571)(550000,600000)	JASDQU010101440.1	575000	905	0.210189
(3864,4544)(604008,649999)(600000,650000)	JASDQU010101440.1	625000	682	0.089934
(88,3849)(462705,469841)(450000,500000)	JASDQU010101446.1	475000	3763	0.321139
(15,199)(286045,286231)(250000,300000)	JASDQU010101447.1	275000	186	-0.018607
(56,780)(141047,149999)(100000,150000)	JASDQU010101448.1	125000	726	0.856908
(781,1588)(150000,196213)(150000,200000)	JASDQU010101448.1	175000	809	0.572820
(1589,1739)(207135,207367)(200000,250000)	JASDQU010101448.1	225000	152	0.653121
(1740,1812)(499753,499834)(450000,500000)	JASDQU010101448.1	475000	74	0.076072
(1813,4468)(557353,594518)(550000,600000)	JASDQU010101448.1	575000	2657	0.218218
(4469,6169)(619221,629478)(600000,650000)	JASDQU010101448.1	625000	1702	0.110403
(258,1169)(317618,318634)(300000,350000)	JASDQU010101449.1	325000	913	0.423876
(300,2142)(51605,84954)(50000,100000)	JASDQU010101452.1	75000	1844	0.207012
(137,251)(101500,101757)(100000,150000)	JASDQU010101458.1	125000	116	0.024124
(252,2270)(205752,224756)(200000,250000)	JASDQU010101458.1	225000	2020	0.284549
(201,428)(65262,65676)(50000,100000)	JASDQU010101465.1	75000	229	0.007427
(429,430)(286395,286396)(250000,300000)	JASDQU010101465.1	275000	3	0.110290
(185,260)(106412,106586)(100000,150000)	JASDQU010101471.1	125000	77	0.669967
(347,827)(107656,119625)(100000,150000)	JASDQU010101476.1	125000	482	0.033317
(828,953)(172525,172659)(150000,200000)	JASDQU010101476.1	175000	127	0.060007
(954,992)(361029,363310)(350000,400000)	JASDQU010101476.1	375000	40	0.024643
(274,5456)(415596,445977)(400000,450000)	JASDQU010101481.1	425000	5184	0.215164
(71,186)(235028,235153)(200000,250000)	JASDQU010101484.1	225000	117	0.667155
(85,4534)(89054,94226)(50000,100000)	JASDQU010101496.1	75000	4451	0.746214
(793,796)(582630,582634)(550000,600000)	JASDQU010101499.1	575000	5	0.082574
(313,1657)(292548,293960)(250000,300000)	JASDQU010101506.1	275000	1346	0.358839
(1658,1788)(392836,392974)(350000,400000)	JASDQU010101506.1	375000	132	0.031341
(1789,2069)(469832,485098)(450000,500000)	JASDQU010101506.1	475000	282	0.038048
(2070,2118)(517359,517411)(500000,550000)	JASDQU010101506.1	525000	50	-0.009108
(2119,2578)(595628,596117)(550000,600000)	JASDQU010101506.1	575000	461	0.783526
(2579,5374)(618243,624520)(600000,650000)	JASDQU010101506.1	625000	2797	0.714451
(5375,5551)(680645,680821)(650000,700000)	JASDQU010101506.1	675000	178	0.019399
(5552,5594)(838894,838958)(800000,850000)	JASDQU010101506.1	825000	44	0.106008
(5595,5779)(861097,861286)(850000,900000)	JASDQU010101506.1	875000	186	0.056837
(914,1505)(123116,125358)(100000,150000)	JASDQU010101511.1	125000	593	0.036394
(492,678)(155429,155716)(150000,200000)	JASDQU010101514.1	175000	188	0.452503
(462,5262)(224891,230062)(200000,250000)	JASDQU010101522.1	225000	4802	0.413979
(5263,5484)(513130,542648)(500000,550000)	JASDQU010101522.1	525000	223	0.097016
(363,448)(248397,248492)(200000,250000)	JASDQU010101524.1	225000	87	0.112914
(449,532)(331321,331436)(300000,350000)	JASDQU010101524.1	325000	85	0.082186
(858,873)(195142,195157)(150000,200000)	JASDQU010101526.1	175000	17	0.058254
(874,1070)(437611,437811)(400000,450000)	JASDQU010101526.1	425000	198	0.006385
(1071,1431)(561389,562048)(550000,600000)	JASDQU010101526.1	575000	362	0.009560
(281,2326)(64798,68365)(50000,100000)	JASDQU010101529.1	75000	2047	0.416010
(409,882)(205579,206054)(200000,250000)	JASDQU010101534.1	225000	475	0.001936
(576,756)(109421,109615)(100000,150000)	JASDQU010101535.1	125000	182	0.190696
(757,781)(299770,299805)(250000,300000)	JASDQU010101535.1	275000	26	0.034265
(782,1078)(372917,373500)(350000,400000)	JASDQU010101535.1	375000	298	0.023241
(78,216)(50000,50138)(50000,100000)	JASDQU010101538.1	75000	140	0.035159
(217,470)(691213,691480)(650000,700000)	JASDQU010101538.1	675000	255	0.056466
(737,1005)(196542,196840)(150000,200000)	JASDQU010101557.1	175000	270	0.163636
(1006,1627)(238954,239611)(200000,250000)	JASDQU010101557.1	225000	623	0.362553
(1628,1882)(376727,376985)(350000,400000)	JASDQU010101557.1	375000	256	0.072632
(1883,2000)(410969,411095)(400000,450000)	JASDQU010101557.1	425000	119	0.319703
(2001,2627)(453240,453891)(450000,500000)	JASDQU010101557.1	475000	628	0.106604
(2628,2671)(599297,599347)(550000,600000)	JASDQU010101557.1	575000	45	0.156691
(774,1177)(544018,544426)(500000,550000)	JASDQU010101564.1	525000	405	0.356433
(1178,3786)(642873,645812)(600000,650000)	JASDQU010101564.1	625000	2610	0.061219
(393,1087)(455388,456100)(450000,500000)	JASDQU010101565.1	475000	696	0.283517
(1088,1348)(624289,630123)(600000,650000)	JASDQU010101565.1	625000	262	0.333105
(1349,1761)(664313,664750)(650000,700000)	JASDQU010101565.1	675000	414	-0.028369
(337,1901)(169387,171188)(150000,200000)	JASDQU010101570.1	175000	1566	0.733029
(1902,3293)(519001,520399)(500000,550000)	JASDQU010101570.1	525000	1393	0.034755
(3294,3514)(649028,649338)(600000,650000)	JASDQU010101570.1	625000	222	0.069757
(3515,3931)(667307,667726)(650000,700000)	JASDQU010101570.1	675000	418	0.021801
(223,610)(219231,219628)(200000,250000)	JASDQU010101586.1	225000	389	0.094954
(611,1673)(276294,286074)(250000,300000)	JASDQU010101586.1	275000	1064	0.054035
(1674,2241)(357129,357735)(350000,400000)	JASDQU010101586.1	375000	569	0.174464
(244,440)(397875,398093)(350000,400000)	JASDQU010101589.1	375000	198	0.575163
(1773,2046)(311074,311450)(300000,350000)	JASDQU010101616.1	325000	275	0.021528
(893,1807)(214087,239615)(200000,250000)	JASDQU010101619.1	225000	916	0.504591
(435,568)(125226,125365)(100000,150000)	JASDQU010101622.1	125000	135	0.014772
(565,682)(254413,254580)(250000,300000)	JASDQU010101623.1	275000	119	0.001433
(303,404)(281215,281537)(250000,300000)	JASDQU010101625.1	275000	103	0.055049
(4527,5067)(331593,332155)(300000,350000)	JASDQU010101631.1	325000	542	0.074902
(183,1877)(204963,210042)(200000,250000)	JASDQU010101641.1	225000	1696	0.527956
(1878,3542)(502593,504590)(500000,550000)	JASDQU010101641.1	525000	1666	0.439460
(273,800)(62404,62939)(50000,100000)	JASDQU010101643.1	75000	529	0.422350
(428,837)(176403,188476)(150000,200000)	JASDQU010101653.1	175000	411	0.042727
(556,1056)(263763,283827)(250000,300000)	JASDQU010101659.1	275000	502	0.049576
